State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,Literacy_Rate,Male_Literacy_Rate,Sex_Ratio,Female_Literacy_Rate,Literacy_Gender_Gap,Low_Income,Middle_Income,High_Income,Worker_Participation_Rate,Male_Worker_Participation_Rate,Female_Worker_Participation_Rate,Electrification_Rate,Internet_Access_Rate,Computer_Access_Rate,Youth_Population_Percent,Middle_Age_Population_Percent,Senior_Population_Percent,Below_Primary_Education_Rate,Literate_Education_Rate,Illiteracy_Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,484912,84661,2399901,275970,15422,1377,25510,617,566108,5512,45202,232470,344167,281752,225957,143143,100226,1346992,1030640,4181,54.0,63.0,1001.4931399528475,46.0,17.0,648,2870,315,48.0,55.0,42.0,21.0,0.0,2.0,56.0,26.0,15.0,8.0,49.0,38.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,879537,105343,3599372,443456,20463,932,341,1417,897970,8606,48299,462273,720357,582075,331793,162175,144915,2426929,1369069,5799,57.0,65.0,976.8262940816035,48.0,17.0,969,3857,536,50.0,59.0,41.0,22.0,0.0,1.0,54.0,27.0,18.0,11.0,59.0,34.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,748093,57269,3737588,397870,24129,867,253,1322,944555,13763,67087,522961,770836,673197,548336,265199,246409,3062955,1170993,5926,64.0,71.0,996.9648895514505,57.0,14.0,1021,3835,693,46.0,58.0,35.0,23.0,0.0,2.0,51.0,28.0,19.0,13.0,73.0,28.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1122046,57853,4983330,77777,77825,738,413,4149,1297273,22411,93784,669420,947606,797497,521562,271809,263023,3518619,1524603,7211,64.0,67.0,1005.8061523422299,61.0,6.0,1274,4814,643,41.0,60.0,21.0,25.0,0.0,2.0,53.0,29.0,18.0,13.0,68.0,30.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,1227956,47436,4217597,559770,89763,764,323,3282,1186028,19383,80434,736270,845810,674957,453446,246580,221924,3209266,1474349,6981,61.0,67.0,1002.7744075957552,54.0,13.0,1119,4610,701,49.0,59.0,38.0,24.0,0.0,2.0,53.0,28.0,19.0,15.0,66.0,30.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,23029,46157,2046051,1713405,87522,11446,1268,19560,869721,149034,274653,230962,596591,685215,811501,517425,558090,3445721,556902,11071,73.0,76.0,953.5181997200996,70.0,6.0,416,5212,3912,36.0,52.0,19.0,22.0,4.0,7.0,57.0,27.0,14.0,6.0,87.0,14.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,756859,168340,3491139,244723,24979,2086,332,312,926768,8831,46584,340372,453505,482842,463403,293493,256633,2325560,1280393,5251,58.0,67.0,1007.7993407060826,50.0,17.0,961,3583,413,50.0,56.0,44.0,25.0,0.0,1.0,51.0,27.0,19.0,9.0,62.0,34.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,804537,19799,2595321,158887,33463,655,217,459,668519,8628,42171,295639,346118,329630,238811,154774,160804,1551232,875272,3836,58.0,65.0,1011.0669538486314,52.0,13.0,732,2596,280,50.0,58.0,43.0,24.0,0.0,2.0,55.0,28.0,17.0,11.0,55.0,31.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1006976,48444,4023678,307043,145598,1393,863,6320,1163932,30438,101450,618101,692968,630603,531821,312753,328454,3169428,1352499,6983,67.0,71.0,992.347097414411,63.0,8.0,1054,4586,814,45.0,59.0,32.0,26.0,1.0,2.0,52.0,28.0,18.0,14.0,70.0,30.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1037302,60791,3328380,670737,33165,737,255,2235,816721,10081,56478,521327,672951,466940,271828,152453,115504,2220285,1517933,5301,52.0,61.0,987.7448660693489,44.0,17.0,1042,3518,407,50.0,57.0,43.0,20.0,0.0,1.0,58.0,26.0,15.0,13.0,55.0,37.0
